City_ID,City,Country,Data,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Kandiari,26.9156,68.5216,108.25,7,0,12.64,PK,2022-06-07 13:31:33
156,Udachnyy,66.4167,112.4,64.45,41,4,8.81,RU,2022-06-07 13:31:33
157,Fukue,32.6881,128.8419,68.34,77,100,10.07,JP,2022-06-07 13:31:34
158,Kaeo,-35.1,173.7833,62.33,97,98,6.2,NZ,2022-06-07 13:31:34
159,Port Moresby,-9.4431,147.1797,78.22,89,40,3.44,PG,2022-06-07 13:31:34
160,Bereznik,62.8551,42.7072,59.54,46,97,8.03,RU,2022-06-07 13:31:35
161,Ismailia,30.6043,32.2723,93.27,33,0,9.22,EG,2022-06-07 13:31:35
162,Airai,-8.9266,125.4092,59.16,86,7,2.93,TL,2022-06-07 13:31:36
163,Belaya Gora,68.5333,146.4167,46.02,42,0,6.35,RU,2022-06-07 13:31:36
164,Broome,42.2506,-75.833,69.46,59,0,8.01,US,2022-06-07 13:31:37
165,Port Elizabeth,-33.918,25.5701,76.32,51,0,8.05,ZA,2022-06-07 13:27:45
166,Egvekinot,66.3167,-179.1667,35.73,69,32,6.93,RU,2022-06-07 13:31:37
167,Poum,-20.2333,164.0167,76.17,74,100,14.03,NC,2022-06-07 13:31:37
168,Tahara,34.6667,137.2667,65.95,29,63,11.07,JP,2022-06-07 13:31:38
169,Vila Franca Do Campo,37.7167,-25.4333,66.61,78,86,12.17,PT,2022-06-07 13:31:38
170,Kodiak,57.79,-152.4072,49.51,81,100,0.0,US,2022-06-07 13:31:39
171,Zachepylivka,49.1939,35.2394,74.44,49,92,5.84,UA,2022-06-07 13:31:39
172,Minas Novas,-17.2186,-42.5903,78.76,33,9,2.89,BR,2022-06-07 13:31:40
173,Alofi,-19.0595,-169.9187,75.09,78,44,9.22,NU,2022-06-07 13:31:40
174,Chapais,49.7834,-74.8492,58.78,82,100,11.54,CA,2022-06-07 13:31:41
175,Canaries,28.0,-15.5,71.4,61,20,26.46,ES,2022-06-07 13:31:41
176,Hirara,24.8,125.2833,75.74,84,100,11.88,JP,2022-06-07 13:31:41
177,Polunochnoye,60.8697,60.4153,60.04,37,100,10.65,RU,2022-06-07 13:31:42
178,Severnyy-Kospashskiy,59.0925,57.8008,53.6,80,100,21.21,RU,2022-06-07 13:31:42
179,Saint George,37.1041,-113.5841,73.94,34,0,3.44,US,2022-06-07 13:27:32
180,Atar,20.5169,-13.0499,110.98,7,90,18.79,MR,2022-06-07 13:31:43
181,Atuona,-9.8,-139.0333,77.52,69,8,14.56,PF,2022-06-07 13:30:24
182,Maryville,35.7565,-83.9705,69.67,97,100,8.05,US,2022-06-07 13:32:44
183,Molchanovo,57.5817,83.7692,46.47,75,70,6.78,RU,2022-06-07 13:32:44
184,Guadalupe,25.6833,-100.25,78.21,94,100,0.0,MX,2022-06-07 13:29:47
185,Khairpur Nathan Shah,27.0936,67.7337,108.75,6,0,10.11,PK,2022-06-07 13:32:44
186,Oranjestad,12.524,-70.027,85.95,66,20,23.02,AW,2022-06-07 13:32:45
187,Mayna,54.1135,47.6231,59.0,66,1,20.27,RU,2022-06-07 13:32:45
188,Georgetown,5.4112,100.3354,82.35,78,20,4.61,MY,2022-06-07 13:29:06
189,Peniche,39.3558,-9.3811,75.07,72,82,12.15,PT,2022-06-07 13:32:46
190,Ust-Maya,60.4167,134.5333,56.17,76,100,4.54,RU,2022-06-07 13:32:46
191,Wuwei,37.9281,102.6414,71.53,31,100,3.89,CN,2022-06-07 13:32:47
192,Tasiilaq,65.6145,-37.6368,42.96,66,100,2.95,GL,2022-06-07 13:32:47
193,Nantucket,41.2835,-70.0995,69.15,72,0,11.5,US,2022-06-07 13:32:47
194,Marawi,7.9986,124.2928,69.26,93,78,1.74,PH,2022-06-07 13:32:48
195,Vanimo,-2.6741,141.3028,78.21,84,100,3.44,PG,2022-06-07 13:32:48
196,Pangody,65.85,74.4859,63.28,33,46,12.82,RU,2022-06-07 13:32:48
197,Guerrero Negro,27.9769,-114.0611,64.24,79,100,12.82,MX,2022-06-07 13:32:49
198,Naziya,59.8,31.3833,70.56,99,10,3.76,RU,2022-06-07 13:32:49
199,Licata,37.1071,13.9461,98.89,50,17,18.05,IT,2022-06-07 13:32:50
200,Tura,25.5198,90.2201,74.98,95,100,5.19,IN,2022-06-07 13:32:50
201,Husavik,66.0449,-17.3389,48.96,77,97,7.78,IS,2022-06-07 13:32:51
202,Pafos,34.7667,32.4167,82.24,65,75,8.05,CY,2022-06-07 13:32:51
203,Kiama,-34.6833,150.8667,51.39,64,1,15.01,AU,2022-06-07 13:32:51
204,Vao,-22.6667,167.4833,73.81,76,100,12.37,NC,2022-06-07 13:32:52
205,Gazanjyk,39.2446,55.5154,102.34,13,54,10.36,TM,2022-06-07 13:32:52
206,Kharp,66.8014,65.8081,67.75,30,17,7.07,RU,2022-06-07 13:32:52
207,Victoria,22.2855,114.1577,79.32,91,100,4.0,HK,2022-06-07 13:32:22
208,Dothan,31.2232,-85.3905,78.69,91,100,3.44,US,2022-06-07 13:31:58
209,East London,-33.0153,27.9116,74.34,38,0,5.75,ZA,2022-06-07 13:32:53
210,Qaqortoq,60.7167,-46.0333,42.87,78,64,9.26,GL,2022-06-07 13:32:53
211,Chuy,-33.6971,-53.4616,59.34,71,0,4.61,UY,2022-06-07 13:32:54
212,Khatanga,71.9667,102.5,53.11,54,99,3.06,RU,2022-06-07 13:32:54
213,Kruisfontein,-34.0033,24.7314,72.63,36,12,6.38,ZA,2022-06-07 13:32:55
214,Flagstaff,35.1981,-111.6513,70.12,39,0,4.61,US,2022-06-07 13:32:55
215,Denpasar,-8.65,115.2167,82.06,89,20,10.36,ID,2022-06-07 13:32:55
216,Pangai,-19.8,-174.35,75.74,62,0,12.44,TO,2022-06-07 13:32:56
217,Kumluca,36.3703,30.2869,80.13,66,12,5.7,TR,2022-06-07 13:32:56
218,Pointe Michel,15.25,-61.3833,85.14,58,20,6.91,DM,2022-06-07 13:32:56
219,Cabra,37.4725,-4.4421,92.89,14,2,8.3,ES,2022-06-07 13:32:57
220,Paamiut,61.994,-49.6678,38.71,85,3,9.1,GL,2022-06-07 13:32:57
221,Kuytun,54.3419,101.5036,46.6,62,7,3.51,RU,2022-06-07 13:32:57
222,Ponta Do Sol,32.6667,-17.1,79.72,72,13,2.19,PT,2022-06-07 13:32:58
223,Mae Hong Son,19.3003,97.9685,75.02,97,100,2.35,TH,2022-06-07 13:32:58
224,Shingu,33.7333,135.9833,61.23,84,99,5.79,JP,2022-06-07 13:32:59
225,Fairmont,39.4851,-80.1426,71.24,83,100,8.77,US,2022-06-07 13:29:26
226,Port Hedland,-20.3167,118.5667,68.05,49,26,10.36,AU,2022-06-07 13:33:00
227,Susanville,40.4163,-120.653,56.12,65,0,0.0,US,2022-06-07 13:33:00
228,Angoche,-16.2325,39.9086,76.14,70,3,11.39,MZ,2022-06-07 13:33:00
229,Kalmunai,7.4167,81.8167,83.98,68,100,4.41,LK,2022-06-07 13:33:02
230,Sisimiut,66.9395,-53.6735,41.52,54,8,11.7,GL,2022-06-07 13:34:02
231,Kozlovo,56.5167,36.2667,66.15,39,12,6.71,RU,2022-06-07 13:34:02
232,Tucumcari,35.1717,-103.725,67.95,77,100,13.8,US,2022-06-07 13:33:09
233,Torbay,47.6666,-52.7314,44.28,89,100,18.99,CA,2022-06-07 13:34:03
234,Pangnirtung,66.1451,-65.7125,42.8,75,20,3.44,CA,2022-06-07 13:34:03
235,Sao Felix Do Xingu,-6.6447,-51.995,85.3,53,41,3.56,BR,2022-06-07 13:34:04
236,Telimele,10.9167,-13.3333,89.31,50,86,2.37,GN,2022-06-07 13:34:05
237,Cody,44.5263,-109.0565,54.01,63,100,3.44,US,2022-06-07 13:34:05
238,High Prairie,55.4334,-116.4858,50.68,96,100,5.79,CA,2022-06-07 13:34:16
239,Hami,42.8,93.45,80.08,15,70,10.2,CN,2022-06-07 13:34:16
240,Sol-Iletsk,51.1631,54.9918,65.95,60,31,20.65,RU,2022-06-07 13:34:16
241,Nikolskoye,59.7035,30.7861,69.87,28,27,4.94,RU,2022-06-07 13:34:17
242,Seoul,37.5683,126.9778,69.4,58,0,9.22,KR,2022-06-07 13:30:13
243,Altamont,42.2068,-121.7372,44.78,94,0,3.44,US,2022-06-07 13:34:17
244,Yaan,7.3833,8.5667,92.71,43,53,3.33,NG,2022-06-07 13:34:18
245,Vaitape,-16.5167,-151.75,79.43,75,32,14.03,PF,2022-06-07 13:34:18
246,Vaulx-En-Velin,45.7833,4.9333,81.28,31,0,9.22,FR,2022-06-07 13:34:19
